,bay_top1,bay_top2,bay_top3,bay_top4,bay_top5,bay_top6,bay_top7,bay_top8,bay_top9,bay_top10,bay_top11,bay_top12,bay_top13,bay_top14,bay_top15,bay_top16,bay_top17,bay_top18,bay_top19,bay_top20,gnt_top1,gnt_top2,gnt_top3,gnt_top4,gnt_top5,gnt_top6,gnt_top7,gnt_top8,gnt_top9,gnt_top10,gnt_top11,gnt_top12,gnt_top13,gnt_top14,gnt_top15,gnt_top16,gnt_top17,gnt_top18,gnt_top19,gnt_top20,match
2871,10,9,18,17,16,13,12,1,19,8,7,4,2,11,6,5,14,15,3,0,2,8,7,11,19,0,3,10,5,13,14,16,9,12,18,1,4,6,15,17,True
2872,0,5,15,13,9,1,12,18,17,16,14,10,11,8,7,6,4,3,2,19,2,8,7,17,14,11,5,0,10,13,6,12,9,1,19,16,3,18,4,15,True
2873,4,15,14,0,11,18,17,16,13,12,10,1,9,8,7,6,5,3,2,19,12,16,0,1,13,18,7,2,10,11,19,5,6,4,8,9,3,15,14,17,True
2874,19,14,13,12,1,18,17,16,15,11,0,9,8,7,6,5,4,3,2,10,11,2,3,1,16,0,8,5,6,4,13,7,14,10,12,9,18,19,15,17,True
2875,2,3,17,7,9,13,0,12,18,16,15,14,10,11,1,8,6,5,4,19,8,2,10,1,9,13,3,18,12,14,16,4,7,11,5,19,6,17,0,15,True
2876,6,14,12,0,11,18,17,16,15,13,10,1,9,8,7,5,4,2,19,3,6,7,8,4,9,2,3,14,16,0,13,1,11,18,19,17,10,5,12,15,True
2877,0,8,18,15,12,1,9,10,7,6,5,3,11,4,13,14,16,17,2,19,10,0,2,5,3,1,16,11,8,6,18,19,15,9,7,13,14,4,17,12,True
2878,10,9,2,7,8,12,18,16,5,6,15,13,0,11,4,19,14,1,17,3,7,16,19,13,10,9,0,4,1,11,15,2,3,8,6,18,12,14,5,17,True
2879,2,7,19,13,3,4,17,8,9,18,16,15,14,0,12,11,1,6,5,10,2,10,4,11,0,14,7,15,13,12,3,8,19,5,6,1,16,9,18,17,True
2880,14,2,11,17,6,0,18,16,15,13,10,4,5,12,7,9,1,8,19,3,0,5,2,6,8,10,3,14,1,9,19,4,13,11,16,18,7,12,17,15,True
2881,7,2,14,18,5,6,12,10,8,9,1,16,15,17,0,13,11,4,19,3,14,2,10,8,19,0,4,9,12,7,13,5,11,3,16,6,18,1,15,17,True
2882,11,4,0,2,17,6,9,14,1,13,18,16,15,10,12,7,5,19,8,3,9,16,6,5,14,4,7,3,2,0,10,8,13,11,1,19,18,17,12,15,True
2883,3,0,11,18,17,16,15,14,13,12,10,1,9,8,7,6,5,4,2,19,3,5,11,0,18,10,2,8,4,7,14,6,19,16,12,13,9,1,17,15,True
2884,16,17,4,15,14,13,9,11,19,18,1,12,0,8,7,6,5,2,10,3,12,14,9,18,3,11,2,13,1,19,4,7,5,16,17,6,8,0,10,15,True
2885,18,1,7,6,12,10,14,3,5,9,15,17,16,0,13,11,8,4,2,19,6,9,1,11,16,4,13,3,12,8,0,18,10,2,5,7,14,19,15,17,True
2886,10,8,18,16,13,12,1,9,19,7,4,2,6,11,15,17,5,14,3,0,10,2,16,14,4,5,13,11,3,19,8,7,0,18,17,9,12,1,15,6,True
2887,3,11,0,4,19,5,6,7,8,9,1,2,12,13,14,15,16,17,18,10,4,3,0,1,7,13,6,11,12,9,5,18,14,8,10,16,2,17,19,15,True
2888,11,16,0,9,15,13,10,4,19,7,8,6,1,5,12,14,3,2,17,18,4,2,1,6,5,9,13,0,7,12,8,16,14,3,10,11,19,18,15,17,True
2889,0,17,6,14,11,9,2,15,13,1,18,4,5,10,8,16,3,12,19,7,5,0,9,13,3,6,7,18,10,2,8,4,1,19,17,15,14,11,16,12,True
2890,0,18,15,1,7,12,9,10,6,5,3,19,8,11,4,13,14,16,17,2,2,10,16,3,0,11,12,8,6,5,7,19,18,9,4,13,14,1,15,17,True
2891,7,2,0,11,18,17,16,15,14,13,12,10,1,9,8,6,5,4,3,19,2,5,10,11,18,9,0,6,8,3,12,1,7,4,13,16,19,14,15,17,True
2892,8,5,0,11,18,17,16,15,14,13,12,10,1,9,7,6,4,3,2,19,2,14,10,12,3,11,13,9,16,5,18,6,4,8,19,0,15,7,1,17,True
2893,12,2,7,17,16,14,19,6,18,15,13,0,11,1,9,8,5,4,10,3,6,5,3,0,8,4,1,19,2,10,7,14,11,15,16,9,18,13,12,17,True
2894,0,15,19,3,12,18,17,16,2,14,13,11,4,1,9,8,7,6,5,10,0,4,2,5,16,3,13,14,18,12,1,9,11,7,19,6,8,10,17,15,True
2895,14,11,17,4,15,13,9,0,18,16,12,10,1,8,7,6,5,3,2,19,8,10,19,0,7,17,2,4,3,5,11,16,14,1,9,18,13,12,6,15,True
2896,7,0,11,18,17,16,15,14,13,12,10,9,8,6,5,4,2,19,1,3,14,11,7,12,6,4,10,2,0,19,5,18,13,8,3,1,15,16,17,9,True
2897,14,12,16,11,10,2,4,6,7,15,18,13,19,1,9,8,17,5,3,0,18,2,3,14,6,4,1,16,10,0,7,8,19,11,5,12,13,9,15,17,True
2898,19,13,12,1,18,17,16,15,14,11,0,9,8,7,6,5,4,3,2,10,2,9,10,8,5,7,15,13,6,0,12,19,1,18,11,14,4,3,16,17,True
2899,0,1,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,19,7,2,14,19,11,18,17,16,15,13,12,0,1,9,8,6,5,4,3,10,True
2900,18,6,13,8,9,1,10,12,17,16,15,19,11,7,4,3,2,14,5,0,10,2,14,4,7,5,12,9,3,8,16,11,0,1,6,13,19,18,17,15,True
2901,18,3,10,17,12,5,6,16,15,9,1,13,14,0,11,8,7,4,2,19,11,0,3,6,5,2,4,8,1,10,16,14,7,18,9,12,19,13,15,17,True
2902,16,1,15,6,12,0,18,14,13,11,10,9,8,7,4,2,19,5,3,17,19,18,0,6,10,13,11,16,9,7,12,4,5,1,2,14,8,3,17,15,True
2903,18,15,1,7,14,11,0,19,6,5,4,8,9,12,13,16,17,2,10,3,6,9,0,4,13,16,1,3,5,14,10,8,12,2,7,11,19,18,15,17,True
2904,13,9,1,0,11,18,17,16,15,14,12,10,8,7,6,5,4,3,2,19,11,2,19,0,7,3,1,13,18,6,8,5,10,9,4,16,12,14,15,17,True
2905,4,16,10,1,18,17,13,12,11,19,9,7,2,8,6,14,15,5,0,3,19,5,2,12,8,10,4,18,13,9,16,3,0,1,7,6,14,11,15,17,True
2906,14,15,6,12,7,18,9,16,19,8,11,2,13,5,17,10,4,0,1,3,2,14,3,18,9,0,13,4,6,12,5,11,8,16,1,10,7,19,15,17,True
2907,1,18,0,5,7,8,11,13,17,16,15,14,10,12,9,6,4,3,2,19,16,4,13,8,1,5,6,9,11,18,2,15,10,7,3,0,14,19,12,17,True
2908,0,14,17,19,2,6,7,9,11,12,15,16,4,5,1,13,3,18,10,8,0,4,13,5,9,3,16,1,6,18,7,11,12,10,14,2,8,19,17,15,True
2909,2,7,17,19,13,4,8,9,3,14,12,6,18,0,5,10,11,15,16,1,2,18,5,3,16,11,10,6,7,12,8,9,1,13,0,4,19,14,17,15,True
2910,10,11,3,17,6,18,16,15,14,13,12,0,1,9,8,7,5,4,2,19,16,1,6,4,7,2,9,3,5,8,10,13,18,0,19,11,14,12,15,17,True
2911,19,16,9,13,1,10,6,7,8,4,11,12,2,18,15,17,5,3,14,0,12,1,19,2,10,6,7,18,3,13,9,5,16,11,4,14,8,15,17,0,True
2912,7,19,8,11,14,0,5,2,10,6,4,9,12,13,15,17,18,1,16,3,10,7,2,0,18,8,1,19,4,9,13,11,5,14,16,3,6,15,12,17,True
2913,16,19,11,18,17,15,14,13,12,0,9,8,7,6,5,4,2,10,1,3,2,10,9,14,6,1,7,3,11,13,19,12,8,4,18,0,5,16,15,17,True
2914,17,9,2,13,7,3,19,12,5,6,14,0,8,11,1,18,15,4,10,16,2,7,10,14,11,8,16,15,9,4,5,12,1,3,13,19,6,0,18,17,True
2915,11,0,1,18,17,16,15,14,13,12,10,9,8,7,6,5,4,3,2,19,4,12,14,8,5,6,0,10,18,9,11,2,1,3,7,17,13,16,19,15,True
2916,7,12,2,14,19,6,17,16,18,9,8,13,15,4,5,11,0,1,10,3,14,13,12,2,11,18,3,4,10,8,9,16,1,0,6,7,19,5,15,17,True
2917,11,4,18,0,17,16,15,14,13,12,10,1,9,8,7,6,5,3,2,19,0,2,12,1,7,13,6,3,11,16,4,5,9,18,14,19,10,8,15,17,True
2918,10,1,18,17,16,15,14,13,12,11,0,9,8,7,6,5,4,3,2,19,19,4,0,8,7,5,3,15,16,10,13,2,14,9,1,18,6,12,17,11,True
2919,2,7,19,4,8,17,9,13,3,18,1,16,14,0,11,6,5,12,15,10,10,2,7,6,5,11,9,12,0,19,16,1,3,8,4,13,15,14,18,17,True
2920,4,17,9,13,14,15,10,2,5,6,8,1,12,11,16,18,0,7,3,19,2,3,19,5,0,1,6,11,9,12,10,8,16,18,7,13,14,4,15,17,True
2921,7,2,9,3,19,15,4,17,8,13,12,10,6,5,18,0,1,16,11,14,4,1,12,8,10,16,7,2,3,5,11,13,9,14,15,6,0,19,18,17,True
2922,3,17,16,13,9,0,1,18,6,8,19,7,5,2,11,12,14,15,4,10,0,2,5,9,12,15,8,14,10,4,3,11,16,1,19,6,7,13,18,17,True
2923,1,10,18,16,12,17,15,14,13,11,0,9,8,7,6,5,4,3,2,19,19,15,1,13,5,6,14,7,4,10,0,3,8,16,18,12,2,9,11,17,True
2924,10,1,16,12,18,17,15,14,13,11,0,9,7,6,5,4,2,19,8,3,14,3,0,4,10,5,16,9,11,8,19,18,7,6,2,13,1,17,15,12,True
2925,2,16,7,1,0,12,18,17,15,14,13,10,11,9,8,6,5,4,3,19,0,15,10,19,2,8,4,16,7,5,18,3,14,1,9,11,13,6,12,17,True
2926,8,19,13,2,18,4,17,6,7,9,15,14,16,0,12,11,1,5,10,3,10,14,3,16,9,8,2,19,0,1,6,4,13,5,11,18,7,12,15,17,True
2927,0,11,18,17,16,15,14,13,10,6,5,4,2,9,1,8,12,7,3,19,0,5,3,19,4,11,8,10,7,9,12,6,14,2,1,13,15,16,17,18,True
2928,10,9,18,17,16,13,12,1,19,8,7,4,2,11,6,5,14,15,3,0,2,10,8,13,11,9,5,19,3,7,14,0,4,16,12,1,6,18,15,17,True
2929,0,11,2,17,6,14,18,16,15,13,10,9,5,4,19,1,12,8,7,3,4,0,12,2,3,1,10,5,11,6,8,19,13,9,14,7,18,16,15,17,True
2930,11,7,8,0,5,18,17,15,14,13,19,9,6,4,2,1,12,16,10,3,12,3,10,4,2,14,8,18,13,11,7,0,6,5,1,19,9,16,15,17,True
2931,2,17,16,15,7,14,12,0,11,18,13,10,1,9,8,6,5,4,3,19,7,5,13,1,18,2,12,9,11,16,6,19,14,8,10,0,3,17,15,4,True
2932,8,19,13,17,4,16,6,7,9,14,12,18,15,0,11,2,1,5,10,3,0,3,5,14,11,4,16,7,2,13,6,10,9,12,1,8,19,17,18,15,True
2933,2,17,7,14,12,0,11,18,16,15,13,10,1,9,8,6,5,4,3,19,6,5,9,7,10,13,18,1,4,0,16,2,3,12,15,14,19,8,17,11,True
2934,16,10,12,3,17,8,1,18,15,14,13,0,11,9,7,6,5,4,2,19,17,18,4,1,3,13,6,19,11,16,9,7,0,8,12,5,14,2,15,10,True
2935,0,3,16,6,12,11,18,17,15,14,13,10,1,9,8,7,5,4,2,19,6,19,0,10,2,4,5,11,16,8,3,9,14,18,12,13,7,1,17,15,True
2936,5,0,19,3,18,1,12,17,16,15,14,13,11,4,9,8,7,6,2,10,16,9,8,14,0,10,3,11,18,19,5,7,2,4,1,6,15,13,12,17,True
2937,2,7,14,0,11,18,17,16,15,13,12,10,1,9,8,6,5,4,3,19,3,0,2,4,5,1,11,7,12,9,10,18,13,8,14,16,15,6,19,17,True
2938,11,7,12,16,2,18,4,6,8,9,1,13,14,15,0,17,10,5,19,3,6,12,13,0,1,8,14,2,4,7,5,10,3,19,16,9,11,15,18,17,True
2939,2,7,14,17,12,0,11,18,16,15,13,10,1,9,8,6,5,4,3,19,19,2,14,5,6,7,10,16,12,3,8,13,9,18,1,11,4,15,0,17,True
2940,11,7,10,18,5,6,15,9,12,16,13,17,14,0,8,4,3,2,19,1,3,2,5,18,8,19,11,7,1,14,16,12,10,4,13,0,9,6,15,17,True
2941,11,8,0,18,17,16,15,14,13,19,9,7,6,4,2,1,12,5,10,3,7,5,2,4,1,8,19,10,3,0,11,9,12,13,18,16,14,6,15,17,True
2942,16,19,18,10,4,7,9,1,12,13,2,8,6,11,15,17,5,14,0,3,2,10,16,15,7,1,0,5,9,12,18,8,13,3,19,14,11,6,4,17,True
2943,11,15,4,9,13,10,2,6,8,1,12,17,16,14,18,19,7,5,3,0,16,5,1,0,7,3,2,9,14,19,6,8,10,12,11,18,15,13,4,17,True
2944,11,18,6,8,4,9,5,7,16,0,13,12,15,1,2,19,17,10,14,3,7,2,1,5,3,9,0,6,4,10,16,8,19,12,14,13,18,11,15,17,True
2945,5,18,17,6,14,9,13,0,12,16,15,10,11,1,8,7,4,2,19,3,16,0,8,4,14,10,6,5,9,3,2,18,19,7,11,12,17,13,1,15,True
2946,10,9,18,17,15,14,13,12,1,19,8,6,5,4,2,11,7,16,3,0,10,7,15,8,9,19,4,2,3,18,1,11,5,6,14,12,13,16,0,17,True
2947,3,0,11,18,17,16,15,14,13,12,10,1,9,8,7,6,5,4,2,19,19,0,16,4,13,8,2,7,10,6,9,1,18,3,15,17,12,11,5,14,True
2948,2,17,7,14,12,0,11,18,16,15,13,10,1,9,8,6,5,4,3,19,2,7,0,10,3,18,9,19,6,8,11,1,5,16,13,14,4,12,17,15,True
2949,14,11,0,17,12,16,6,9,13,2,4,7,15,18,1,5,10,8,19,3,3,8,7,4,0,13,5,1,2,12,6,14,11,9,16,10,18,19,15,17,True
2950,14,0,1,18,17,16,15,13,12,11,10,9,7,6,5,4,2,19,8,3,6,8,2,5,15,13,4,10,0,9,18,19,3,16,7,14,12,11,1,17,True
2951,18,7,19,1,2,0,6,8,9,13,15,4,14,17,3,11,12,16,5,10,6,1,13,9,0,16,4,3,5,11,18,2,7,12,14,8,19,10,15,17,True
2952,0,11,9,17,16,14,13,19,7,3,2,8,1,6,12,5,4,15,18,10,2,10,3,16,7,6,19,0,11,18,1,15,9,8,5,13,12,14,4,17,True
2953,0,1,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,19,0,5,6,8,4,19,9,12,16,7,3,10,1,15,18,11,13,14,2,17,True
2954,17,13,2,4,7,9,1,14,12,10,18,16,15,19,11,8,6,5,3,0,12,11,2,7,18,5,8,4,14,0,13,1,9,19,16,6,10,3,15,17,True
2955,7,2,19,4,8,12,18,17,16,13,10,1,9,11,14,15,6,5,3,0,2,19,10,4,0,7,11,5,8,9,13,3,6,1,18,16,15,14,12,17,True
2956,3,11,0,18,17,16,15,14,13,12,10,1,9,8,7,6,5,4,2,19,1,8,2,5,9,18,10,0,3,16,7,12,14,6,4,15,13,19,11,17,True
2957,1,10,12,2,16,7,15,9,14,18,6,13,4,5,17,11,0,8,19,3,8,16,9,5,0,10,15,14,2,6,19,4,3,7,13,18,1,12,11,17,True
2958,1,0,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,19,12,7,0,4,19,11,5,2,3,8,1,9,6,13,14,18,16,10,15,17,True
2959,19,2,4,7,8,12,18,17,16,15,14,13,0,11,1,9,6,5,3,10,7,13,3,0,16,5,2,10,4,8,14,9,1,6,19,11,12,18,15,17,True
2960,7,2,8,3,6,16,4,19,18,17,13,14,15,11,9,12,0,1,10,5,7,3,0,11,16,1,4,8,5,14,13,9,12,6,2,19,10,18,17,15,True
2961,16,10,9,18,17,13,12,1,19,8,7,4,2,11,6,5,14,15,3,0,19,2,7,8,18,15,10,11,13,4,14,6,3,9,5,0,16,1,12,17,True
2962,15,0,9,18,16,13,12,11,1,10,8,7,6,4,2,19,5,14,3,17,10,5,0,2,12,14,8,13,7,1,6,9,19,11,16,4,3,18,17,15,True
2963,10,6,11,18,17,16,15,14,13,12,0,1,9,8,7,5,4,3,2,19,5,19,1,10,0,2,9,12,15,8,7,4,16,18,3,11,6,13,14,17,True
2964,0,16,6,12,11,18,17,15,14,13,10,9,7,5,4,2,19,1,8,3,14,11,0,18,2,5,7,4,9,6,16,8,3,10,13,19,15,1,17,12,True
2965,7,0,8,11,15,1,2,5,9,13,14,18,4,17,19,12,16,6,10,3,7,4,13,5,1,2,6,3,0,8,11,14,9,15,12,16,10,19,18,17,True
2966,5,0,11,18,17,16,15,14,13,12,10,9,8,7,6,4,2,19,1,3,5,2,12,6,16,11,19,13,10,4,8,3,14,0,18,7,1,9,15,17,True
2967,1,18,15,11,0,5,14,16,13,12,10,9,8,7,6,4,2,19,3,17,14,3,0,5,6,1,7,10,16,8,13,12,2,4,9,11,19,18,15,17,True
2968,10,12,18,3,5,6,15,9,17,16,14,13,0,11,1,8,7,4,2,19,4,8,13,2,7,18,9,6,10,0,5,14,1,12,11,15,16,17,3,19,True
2969,10,9,18,16,15,12,19,6,5,3,7,8,1,11,13,14,4,17,2,0,3,7,8,5,4,14,9,0,6,12,11,2,1,16,10,18,13,19,17,15,True
2970,7,19,8,16,12,11,17,14,0,5,2,10,9,6,13,4,15,18,1,3,3,2,7,5,0,14,1,9,16,8,10,12,4,6,13,19,11,18,15,17,True
2971,7,0,11,18,17,16,15,14,13,12,10,1,9,8,6,5,4,3,2,19,1,3,7,6,2,8,19,10,12,14,0,9,18,13,4,11,5,16,15,17,True
2972,10,11,6,18,17,16,15,14,13,12,0,1,9,8,7,5,4,3,2,19,1,6,2,10,18,11,3,16,5,4,13,0,12,9,8,14,7,19,15,17,True
2973,1,0,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,19,11,10,8,7,16,13,9,1,4,18,2,6,0,15,5,12,14,3,19,17,True
2974,6,14,12,0,11,18,17,16,15,13,10,1,9,8,7,5,4,3,2,19,9,6,7,14,0,12,11,2,15,10,13,18,19,5,1,8,17,3,4,16,True
2975,7,10,9,18,17,16,13,12,1,19,8,4,2,11,6,5,14,15,3,0,9,10,5,2,12,18,0,19,16,3,8,13,1,7,11,14,6,4,17,15,True
2976,8,18,3,5,6,9,0,12,17,15,14,13,10,11,1,7,16,4,2,19,14,3,18,13,4,2,1,8,6,0,16,11,9,5,10,12,7,19,15,17,True
2977,0,1,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,19,5,0,12,1,14,9,13,10,8,6,18,2,19,4,15,3,16,7,11,17,True
2978,19,5,13,12,11,18,17,16,15,14,0,1,9,8,7,6,4,3,2,10,2,10,11,18,13,0,5,7,3,14,4,12,8,9,1,6,16,19,15,17,True
2979,19,13,2,18,4,17,6,7,8,9,16,15,14,0,12,11,1,5,3,10,2,5,10,12,9,7,4,13,3,0,14,16,18,6,8,19,1,11,17,15,True
2980,11,3,1,18,14,6,12,0,16,19,9,8,7,13,5,15,4,17,2,10,3,10,2,9,14,8,7,18,12,16,0,6,5,1,4,11,19,13,15,17,True
2981,16,12,19,6,13,0,4,10,7,9,1,11,2,17,18,5,8,14,15,3,2,9,10,5,8,12,13,7,4,3,11,18,0,19,6,14,16,1,15,17,True
2982,11,4,0,2,17,6,9,14,13,18,16,15,10,12,1,8,7,5,3,19,4,0,5,2,13,3,16,9,19,11,14,7,10,8,6,1,12,18,15,17,True
2983,7,14,8,0,11,18,17,16,15,13,12,10,1,9,6,5,4,3,2,19,16,5,2,9,10,4,1,12,11,8,18,6,3,7,13,0,19,14,15,17,True
2984,7,19,12,8,1,18,16,14,13,10,9,4,2,11,6,15,17,5,3,0,8,5,13,2,0,4,16,19,7,1,18,3,6,14,12,9,11,10,15,17,True
2985,16,6,0,7,15,14,12,10,1,2,17,9,11,5,13,4,18,19,8,3,7,5,0,2,13,3,10,12,8,16,6,1,4,19,9,14,18,11,17,15,True
2986,0,1,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,19,14,10,18,8,11,17,16,15,13,12,0,1,9,7,6,5,4,3,2,19,True
2987,10,12,18,3,5,6,15,9,17,16,14,13,0,11,1,8,7,4,2,19,14,3,18,0,6,13,8,7,12,4,1,9,15,17,16,10,11,5,2,19,True
2988,10,9,18,17,16,13,12,1,19,8,7,4,2,11,6,5,14,15,3,0,2,7,10,19,8,9,18,13,11,5,0,16,1,14,6,3,12,4,15,17,True
2989,18,5,19,2,4,7,8,16,13,17,15,14,0,12,11,9,6,10,1,3,14,8,10,7,5,0,3,17,4,19,16,2,9,12,11,1,6,13,18,15,True
2990,0,1,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,19,3,14,5,12,18,8,4,2,0,10,7,6,9,13,19,16,11,1,17,15,True
2991,16,0,1,18,17,15,14,13,12,11,10,9,8,7,6,5,4,3,2,19,0,1,14,13,16,3,9,12,8,6,5,18,7,11,4,10,2,19,15,17,True
2992,2,14,7,10,5,9,17,15,11,0,8,6,4,19,1,12,13,16,3,18,9,4,13,7,6,1,3,14,0,8,18,19,16,10,2,5,12,11,15,17,True
2993,0,14,6,17,11,9,19,2,7,8,5,1,4,12,13,3,15,16,18,10,5,19,1,16,4,15,10,11,8,6,14,13,12,3,7,0,2,9,18,17,True
2994,8,0,11,18,17,16,15,14,13,12,10,1,9,7,6,5,4,3,2,19,7,5,11,2,10,12,3,0,9,18,14,1,4,19,8,15,16,13,6,17,True
2995,8,18,0,3,7,1,12,17,16,15,14,13,10,11,9,6,5,4,2,19,7,4,18,6,10,13,2,3,12,0,1,8,5,16,14,19,11,9,15,17,True
2996,11,0,9,18,16,15,13,12,1,10,8,7,6,4,2,19,5,14,3,17,6,14,12,13,2,18,9,3,8,17,11,1,7,16,0,5,4,19,10,15,True
2997,0,15,12,6,9,18,16,10,5,8,7,1,11,13,14,4,3,17,2,19,18,2,1,3,11,5,0,7,16,6,8,14,10,19,4,9,12,13,15,17,True
2998,3,15,0,8,5,18,19,7,6,9,1,11,12,13,14,4,16,17,2,10,4,3,6,16,7,11,1,14,9,10,5,8,2,0,13,18,19,12,15,17,True
2999,16,3,7,0,11,2,17,6,13,9,12,19,1,8,14,15,5,4,18,10,10,9,11,2,0,18,1,12,5,3,7,4,14,13,19,8,6,16,15,17,True
3000,15,11,5,12,7,16,0,10,9,14,18,6,4,1,8,13,2,17,19,3,6,13,4,8,0,5,9,1,19,7,14,16,3,10,2,11,18,15,12,17,True
3001,19,1,18,17,16,15,14,13,12,11,0,9,8,7,6,5,4,3,2,10,18,9,19,2,5,16,13,8,3,6,7,0,14,4,10,11,12,1,15,17,True
3002,0,9,18,17,16,15,13,12,1,10,8,7,4,2,19,11,6,14,5,3,2,7,8,16,9,13,0,4,1,3,5,10,14,18,6,19,11,12,15,17,True
3003,10,5,6,11,18,17,16,15,14,13,12,0,9,8,7,4,2,19,1,3,0,1,2,4,17,5,7,9,8,14,19,16,13,12,3,10,18,15,11,6,True
3004,11,3,18,0,4,9,13,1,7,17,16,2,6,15,10,12,5,19,14,8,11,3,10,5,2,7,8,1,0,16,14,18,4,9,6,13,19,17,12,15,True
3005,7,0,11,18,17,16,15,14,13,12,10,1,9,8,6,5,4,3,2,19,11,1,6,8,4,13,5,16,3,10,14,9,7,12,0,18,2,19,17,15,True
3006,10,9,18,17,16,13,12,1,19,8,7,4,2,11,6,5,14,15,3,0,6,10,16,2,9,14,13,12,7,8,19,3,5,11,4,18,1,15,17,0,True
3007,19,7,11,18,17,16,15,14,13,12,0,1,9,8,6,5,4,3,2,10,14,13,12,2,7,17,8,4,0,18,16,15,10,11,1,9,6,5,3,19,True
3008,11,4,6,16,15,9,14,13,2,17,0,18,19,12,8,7,1,10,5,3,14,18,5,15,6,2,9,10,13,1,8,3,4,0,12,11,7,19,16,17,True
3009,7,0,18,15,8,19,4,3,2,6,5,9,1,11,12,13,14,16,17,10,8,3,4,13,0,16,10,9,6,2,19,7,11,12,1,5,14,17,18,15,True
3010,5,10,15,2,4,6,17,8,9,1,12,13,14,18,16,0,11,7,3,19,6,5,3,2,1,10,0,7,19,8,16,14,11,9,12,18,4,13,15,17,True
3011,10,9,18,17,16,13,12,1,19,8,7,4,2,11,6,5,14,15,3,0,2,7,10,19,8,9,18,13,11,5,0,16,1,14,6,3,12,4,15,17,True
3012,10,5,11,8,7,0,19,6,4,3,9,1,2,12,13,14,15,16,17,18,8,9,14,12,4,1,2,0,11,10,6,3,19,13,17,7,5,15,16,18,True
3013,7,2,17,9,13,3,18,19,4,8,16,12,10,5,11,15,1,6,14,0,2,4,7,16,19,10,12,3,9,14,1,8,0,5,11,6,13,18,15,17,True
3014,6,12,9,0,18,15,10,5,3,7,14,17,2,8,1,11,19,4,13,16,7,0,19,18,6,8,3,12,2,5,16,14,10,1,4,9,13,15,11,17,True
3015,0,6,7,10,3,2,8,9,1,13,17,19,4,5,11,12,14,15,16,18,1,8,14,19,11,12,2,18,7,15,16,6,13,5,10,3,4,9,0,17,True
3016,19,9,18,16,15,13,12,11,1,0,8,7,6,4,2,10,5,14,3,17,2,7,0,10,11,18,3,13,8,14,16,9,4,12,1,5,15,6,19,17,True
3017,2,17,0,11,6,14,9,18,16,13,10,5,4,15,8,19,1,12,7,3,0,4,10,13,9,12,11,16,7,5,14,6,2,8,18,1,3,19,15,17,True
3018,0,1,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,19,10,6,7,5,4,2,0,14,9,3,11,8,13,19,16,18,15,1,12,17,True
3019,15,11,10,9,18,3,5,6,12,19,1,8,7,13,14,4,16,17,2,0,6,9,1,14,16,4,0,3,13,2,7,12,8,5,19,10,11,18,17,15,True
3020,19,2,4,16,7,8,12,18,17,15,14,13,0,11,1,9,6,5,3,10,16,4,7,9,10,8,2,12,0,5,11,19,6,13,18,3,14,17,1,15,True
3021,1,11,0,18,17,16,15,14,13,12,10,9,7,6,5,4,2,19,8,3,5,16,1,14,3,8,10,2,6,4,7,9,13,18,15,19,0,11,12,17,True
3022,5,8,7,16,12,17,6,0,18,15,14,10,11,9,4,3,2,19,13,1,2,1,8,19,10,13,9,18,5,4,12,0,16,14,7,3,11,6,15,17,True
3023,0,2,17,6,14,9,11,12,18,16,15,13,10,1,8,7,5,4,3,19,6,13,1,19,15,4,2,3,9,11,0,12,10,8,14,5,7,17,18,16,True
3024,0,1,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,19,2,7,10,14,3,19,0,8,11,9,13,5,6,16,4,1,12,15,18,17,True
3025,16,10,9,18,17,13,12,1,19,8,7,4,2,11,6,5,14,15,3,0,2,9,0,1,16,10,11,8,14,4,5,3,12,19,18,7,6,13,17,15,True
3026,10,16,9,18,17,13,12,1,19,7,6,4,2,8,11,5,14,15,0,3,8,19,1,6,12,2,0,13,14,3,16,18,4,5,7,10,9,11,15,17,True
3027,19,1,18,17,16,15,14,13,12,11,0,9,8,7,6,5,4,3,2,10,16,2,11,9,14,18,5,7,8,3,4,10,13,15,19,1,0,6,12,17,True
3028,4,15,14,0,11,18,17,16,13,12,10,1,9,8,7,6,5,3,2,19,8,11,6,10,16,2,5,4,14,12,18,0,19,9,13,3,7,15,1,17,True
3029,10,15,2,4,5,6,17,8,9,1,12,13,14,18,16,0,11,7,3,19,8,3,1,14,9,2,5,18,13,12,10,7,19,11,0,16,4,6,15,17,True
3030,0,9,18,16,15,12,11,10,6,5,3,8,7,1,13,14,4,17,2,19,3,2,4,18,7,14,10,6,16,5,8,13,0,9,12,11,1,17,19,15,True
3031,1,0,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,19,5,0,16,2,7,3,13,8,10,9,1,18,4,19,14,12,11,15,6,17,True
